,company,title,url,city,district,remain_address,career,education_date,stack,main_task,qualification,more,duetime,years_of_experience,established_date,total_employees,company_type,view
10,휴맥스모빌리티,데이터 엔지니어(Data server Engineer)_Data Hub팀,https://www.jumpit.co.kr/position/17447,경기,성남시,분당구 황새울로 216,경력 3~9년,대학교졸업(4년) 이상,"Hadoop, Python, SQL",• Data Pipeline 설계 및 개발,"• 학력 : 학사이상
• 경력 : 3년 이상
• 데이터 수집 및 전처리 구축 경험이 있는 3년 이상의 경력자 또는 그에 준하는 실력을 갖춘 분
• 숙련된 SQL 능력과 Python 데이터 처리 경험을 보유한 분","• 온프레미스 기반 서버, 네트워크 설계/구축 경험이 있는 분 우대
• Data lake 구축 프로젝트 리딩 경험이 있는 분 우대
• Hadoop eco system 에 대한 이해도가 높은 분 우대
• 고가용성 시스템 설계, 구축 가능한 분 우대",상시,9,2016-1-13,112,"스타트업, 중소기업, 주식회사",912
11,메이븐클라우드서비스,데이터 엔지니어/PM(경력) 채용,https://www.jumpit.co.kr/position/21551,서울,강남구,"언주로 609, B동 14층",경력 10~30년,무관,"R, Etl, Python, SQL, PySpark","• Pre-Sales (프로젝트 요건 파악, 개발구축을 위한 업무 분석 등)
• 솔루션 개발을 위한 아키텍쳐링
• 프로세스 및 기능 컨설팅
• 고객사DB구축 (Data Mart, Data Warehouse 등)
• 데이터 모델링 및 추출
• 프로젝트 리딩(PM/PL)","• Data flow Architecture 설계가 가능하신 분
• ETL 파이프라인 구축 경험이 있으신 분
• SQL Query 작성 및 Index 최적화가 가능하신 분
• Stored Procedure in SQL Server 작성이 가능하신 분
• PM업무 수행이 가능하신 분","• 정형/비정형 데이터 처리 경험이 있으신 분
• Data Mart, Data Warehouse, Data Lake 구축/운영을 해보신 분
• 데이터 표준화 및 품질관리 업무를 경험해 보신 분
• Power BI 활용 경험이 있으신 분
• R, Python, Pyspark Programming 경험이 있으신 분",상시,12,2013-7-5,63,,432
12,브레인커머스,[잡플래닛] 데이터 엔지니어,https://www.jumpit.co.kr/position/16804,서울,강남구,"테헤란로 415, 307호",경력 3~15년,무관,"MSA, Hive, Databricks, Kafka, Amazon Athena, Hadoop, AWS, Spark, Google BigQuery, Snowflake","• 서비스에 대한 이해를 바탕으로 최적의 데이터 파이프라인 및 데이터 플랫폼 구축 및 운영
• 클라우드 기반 빅데이터 처리 솔루션들의 이해를 바탕으로 Data Lake 및 DW구축
• 일관성 있고 활용도 높은 통합 로깅 및 분산추적 시스템 설계 및 운영
• 데이터 분석 및 머신러닝을 위한 Raw Data의 효율적 정제 및 데이터 구조 정의
• 데이터분석 라이브러리를 활용하여 분석 환경 개발 및 배포
• 데이터 특성에 맞는 다양한 질의 툴 및 시각화 툴 도입 및 적용","• 3년 이상의 데이터 엔지니어링 실무 경험, 또는 이에 준하는 실력을 갖춘 분
• 분산 환경에서 대용량 데이터 Batch 처리 또는 비동기 데이터 처리 경험이 있으신 분
• 프로그래밍 언어와 데이터분석 라이브러리 한 개 이상 능숙하게 다룰 수 있는 분
• AWS architecture 설계나 운영 경험이 있는 분","• 빠르게 성장하는 서비스에서의 고가용성 데이터 플랫폼 설계 및 운영 경험
• 데이터 분석 및 머신러닝 프랙티스에 대한 이해와 경험이 있는 분
• 컨테이너 기반 개발 환경 및 MSA를 위한 데이터 인프라 구축 경험
• BigQuery, Athena, Databricks, Snowflake등 클라우드 기반 데이터파이프라인 솔루션을 활용해보신 분
• Spark, Kafka, Hive등 Hadoop Ecosystem상의 다양한 툴들로 빅데이터플랫폼 구축 운영 경험이 있는 분
• DB성능 개선이나 쿼리 튜닝에 경험이 있는 분
• DevOps나 SRE에 관심이 많고 인프라 자동화에 적극적인 분
• 데이터 분석가와의 협업 경험이 있는 분",상시,13,2012-8-23,123,,"2,771"
13,플래티어,[그루비 SaaS 솔루션] 데이터사이언티스트,https://www.jumpit.co.kr/position/16478,서울,송파구,"법원로9길 26, D동 제6층",경력 1~10년,대학교졸업(4년) 이상,"GCP, MachineLearning, DeepLearning, AWS, TensorFlow, Python, Spark, SQL, PyTorch","• ML, DL 등을 활용한 상품 추천 모델, 고객 세그멘테이션 모델링
• ML, DL 등을 활용한 구매 확률 모델, 이탈 확률 모델, LTV 예측 모델링
• 데이터 기반 서비스 아이디어 도출
• 이커머스 고객 행동 데이터 분석
• 서비스 개선 및 목표 달성을 위한 실험의 설계/제안 및 결과 분석
• 주요 지표들의 성과 분석","• 통계학과, 수학, 데이터 분석 학과 등 관련 전공자
• 관련 경력 1년 이상 또는 관련 분야 석사 졸업 이상","• 이커머스 관련 분야 업무 경험이 있으신 분
• 마케팅 솔루션, 마케팅 분야 업무 경험이 있으신 분
• AWS, GCP 등의 클라우드 서비스 사용 경험이 있으신 분
• TensorFlow, Keras, Pytorch 등 Deep Learning Framework 사용 경험이 있으신 분
• Spark 또는 Ray를 활용한 분산 병렬 처리 프레임워크 경험이 있으신 분
• Kaggle 대회 입상자",상시,20,2005-2-24,265,"중소기업, 코스닥, 주식회사","1,178"
14,메이크스타,Data Engineer 경력직 모집 ,https://www.jumpit.co.kr/position/19307,서울시,강남구,학동로23길 29,경력 3~15년,무관,"Golang, Kafka, Python, BI, EDA","• 메이크스타 데이터 시스템 구축 및 운영
• 마스터 데이터 관리 시스템 개발
• 데이터 분석을 위한 데이터파이프라인 구축
• EDA(Event-Driven Architecture) 기반 시스템 구축","• 3년 이상 데이터 엔지니어 경험이 있는 분
• Cloud 환경에서 데이터 인프라 구축 및 운영을 해본 경험이 있는 분
• Kafka Cluster 구축 및 운영을 해본 경험이 있는 분
• 프로그래밍 언어(Python, Golang 등)를 사용한 기본적인 개발 가능한 분","• 다양한 Database 시스템에 대한 모델링 및 튜닝 경험이 있는 분
• 자동화 도구 개발 및 운영 경험이 있는 분
• BI 또는 데이터 시각화 솔루션 관련 경력이 있는 분",상시,,기업형태,,"스타트업, 중소기업, 외국인 투자기업, 주식회사, 연구소, 수출입 기업","1,863"
15,스포카,데이터 분석가(시니어),https://www.jumpit.co.kr/position/21156,서울,강남구,"테헤란로 124 5층 503호 (역삼동, 삼원타워)",경력 5~10년,무관,"Python, SQL, Google BigQuery, PostgreSQL, Redash","스포카의 데이터 분석가는 데이터를 이용하여 서비스의 성장을 만들어내는 중요한 역할입니다. 서비스를 직접적으로 만드는 PM, 디자이너, 개발자와 함께 소통하면서 데이터 중심의 의사결정에 주도적으로 역할을 진행합니다. 키친보드 서비스를 함께 성장시켜주실 분을 찾습니다.

• 데이터를 이용하여 서비스의 다양한 문제들을 해결하는 업무를 진행합니다.
• 서비스의 핵심 지표들을 정의하고, 추적하고, 시각화하여 팀원들에게 공유합니다.
• 서비스 이용 패턴 분석을 위해 데이터 로그를 설계하고 관리합니다.
• 사용자 분석을 통해 서비스에 직접적으로 영향을 줄 수 있는 인사이트들을 도출해서 공유합니다.
• 전사 및 부서별 KPI 정의하고 관리합니다. ","• 5년 이상 프로덕트 or 비즈니스 분석 경력을 보유하신 분
• 데이터 분석팀이나 서비스 전반을 리딩한 경험이 있는 분 
• SQL(BigQuery, PostgreSQL), Python 등의 기술적 피드백이 가능하신분 
• 가설 검증을 위한 A/B 테스트를 설계하고 결과를 분석하여 서비스에 적용한 경험이 있으신 분 
• Redash를 통한 대시보드 구성 및 시각화에 익숙하신 분
• 데이터와 인사이트를 분석하여 명확하고 실행 가능한 계획을 제시한 경험이 있으신 분","• 엔지니어와 협업하여 데이터 파이프라인을 구축하고 관리한 경험이 있는 분
• 데이터 엔지니어 및 분석 경험이 각각 2년 이상 있으신 분 
• 모바일 서비스 로그 기획/분석 경험이 있으신 분
• 통계 모델링 등 다양한 분석방법론에 익숙하신 분
• ML/DL 프로덕트 서비스에 대한 경험이 있으신 분
• 대내외 협업 및 커뮤니케이션이 원활한 분
• 요식업 매장의 관리 문제를 해결하는데 관심과 열정이 있으신분",상시,14,2011-5-13,40,"스타트업, 중소기업",295
16,디플래닉스,Data Engineer (4~6년),https://www.jumpit.co.kr/position/22467,서울,서초구,"강남대로 465, 4층 강남 교보타워 B동 4층",경력 4~6년,무관,"GCP, AWS, Java, Python, AZURE, AWS Glue, AWS Lambda, SQL, Scala, Apache Spark","• 그룹 데이터 통합 및 활용에 필요한 서비스 구축 프로젝트 수행
  - 그룹 내 유관부서와 커뮤니케이션 및 서비스 관리
• MWAA 관리, 개선, 모니터링
• 교보 그룹의 데이터와 외부 데이터를 바탕으로 다양한 관점에서 분석이 가능한 데이터 아키텍처 설계 및 플랫폼 구축
  - AWS 기반의 Data Lake 및 Data Pipeline 구축 및 관련 API 개발
  - 실시간 Batch 적재 파이프라인 및 정형/비정형 데이터 파이프라인 등 다양한 파이프라인 구축 및 운영
  - Databricks, Snowflake 등 새로운 플랫폼을 바탕으로 한 데이터 아키텍처 설계
• 이외 Data Scientist, Data Analyst, ML Ops에서 활용 가능한 분석 환경 구축 및 운영","• 4년 이상의 데이터 엔지니어링 실무 경력이 있는 분
• 클라우드 서비스(AWS, GCP, Azure 등) 활용 경험이 있는 분
  ※ AWS 의 경우 Glue, MWAA, EC2, S3, Athena, Lambda, Redshift, EMR 등
• Python, SQL, Scala, Java 중 한 가지 이상의 언어로 개발이 가능한 분
• 데이터 분석가와 원활한 소통을 위한 쿼리 작성이 가능한 분
• 새로운 기술에 대한 관심과 호기심이 많은 분","• 클라우드 플랫폼을 활용해 데이터 설계, 구축, 운영 업무를 수행한 분
• 대용량 데이터 처리에 대한 설계 또는 구축 경험이 있는 분
• Apache Spark 프로젝트와 결과물에 대한 경험 혹은 관심이 있는 분
• 클라우드 관련 혹은 기타 IT 자격증을 보유한 분",상시,4,2021-12-17,25,"중견기업, 주식회사, 외부감사법인",360
17,로보코리아,[로보코리아] ML Engineer (QA Engineer),https://www.jumpit.co.kr/position/21067,서울,강남구,"테헤란로25길 7, 6층",경력 1~5년,무관,"AI/인공지능, MachineLearning, TensorFlow, Python, QA, PyTorch","• TTS model 에 대한 다각도에 걸친 체계적인 QA test 수행 (음색, 발음 정확도 등)
• QA test 과정을 통해 유저 만족도를 극대화하는 최선의 모델 선정 및 문제 분석
• Generative AI 모델에 대한 체계적인 성능 평가 방식 개발 및 감독","• 책임감과 꼼꼼함을 지니신 분
• 영어/한국어 음성 신호평가(자연스러움, 음색 등)를 위한 영어/한국어 커뮤니케이션 역량이 있으신 분
• Python 언어를 사용한 개발에 익숙하신 분
• 머신러닝/딥러닝에 대한 기본적인 이해가 있으신 분","• QA 엔지니어링 경험이 있으신 분
• 음성 데이터 처리 경험이 있으신 분
• Pytorch, Tensorflow 등의 프레임워크를 활용한 딥러닝 모델 구현 경험이 있으신 분
• 하나 이상의 Generative AI product 를 활용한 경험이 있으신 분

[이런 분을 선호합니다.]
• 솔직하신 분!
• 항상 자기계발에 진심이신 분!
• 본인 업무에 애착이 있고 잘해야만 하는 분!
• 놀 땐 놀고 일할 땐 일할 줄 아시는 분!
• 효율성과 프로세스를 고민하고 또 고민하시는 분!
• 자신의 성장을 위해 노력하시는 분!
• 매사에 주도적이고, 책임감이 강하신 분!",상시,9,2016-11-24,33,"중소기업, 주식회사, 병역특례 인증업체",210
18,코인원,데이터 분석가,https://www.jumpit.co.kr/position/23050,서울,영등포구,"여의대로 108 (여의도동, 파크원) 45-46F",경력 5~10년,무관,"R, Python, SQL","• 코인원의 서비스 및 제품 데이터를 정제, 가공, 분석하여 시각화 / 리포트 제작
• 분석 결과 및 리포트 기반 가설 수립, 개선점 도출과 성과 추적을 위한 실험 설계
• 유관 부서의 문제 정의 및 지표 개념화 / 조직화 서포팅을 통한 성과 개선 기여
","• 분석에 의한 인사이트 도출, 액션 아이템 개발 경험이 있으신 분
• A/B Test 등 실험 설계 및 성과 측정 과정에 대한 경험이 있으신 분
• 리텐션, 코호트 분석 등 서비스 데이터 분석 방법에 대한 이해도가 높으신 분
• SQL, Python, R 등의 데이터 개발 언어 및 수학 / 통계 지식을 보유하신 분

","• 가상자산 관련 데이터 분석에 대한 경험과 관심이 있으신 분
• 논리를 바탕으로 문제를 정의하고 설명, 설득할 수 있으신 분
• 통계와 머신러닝 등의 전문 지식에 대해 보다 보편적인 언어로 설명할 수 있으신 분",상시,11,2014-2-18,,"스타트업, 중소기업, 병역특례 인증업체","1,074"
19,바르카,데이터 사이언티스트,https://www.jumpit.co.kr/position/22829,서울,강남구,역삼로 169 2층,신입,대학교졸업(4년) 이상,"scikit-learn, AI/인공지능, MachineLearning, DeepLearning, Python","### AI 기반 데이터 분석을 통한 작황 예측 기술 개발

1. 타겟 작물의 특성 연구
    a. 작황을 예측할 작물의 생육 feature 등 특성 조사 및 연구

2. 작황, 기상 데이터, 위성 데이터 관련 연구
    a. 상기 데이터 분석 및 정제
    b. 정제된 데이터들의 feature selection 및 extraction 연구

3. ML 기반 작황 예측 기술 개발
    a. 선택된 feature들로 작황 예측에 필요한 기술 연구
    b. Ensemble 방법론 연구","• Python 사용에 능숙하신 분
• scikit-learn, PyCaret, seaborn 등 데이터 분석 및 ML 에 필요한 라이브러리를 잘 다루시는 분
• 다른 팀원들과의 원활한 소통과 협업을 중요시하며, 개인보다도 팀의 효율을 우선시 하시는 분","• 데이터 분석, ML, DL을 실제 프로덕트화한 경험이 있으신 분
• 농업, 지구과학, 컴퓨터공학 등 유관 분야에 도메인 지식이 있으신 분 (관련 전공자 우대)
• 영어 논문을 능숙하게 읽고 적용하실 수 있는 분",상시,3,2022-5-24,3,,157
20,플래티어,데이터 분석가,https://www.jumpit.co.kr/position/22715,서울,송파구,"법원로9길 26, D동 제6층",경력 2~7년,무관,"Python, SQL","• 데이터 분석 과제 수행, BI 구축","• SQL, Python 등 데이터 분석 도구 숙련자로 관련 경력 2년 이상 ","• 수학, 통계학과 계열 전공자 우대
• 데이터 분석 프로젝트 경험
• 데이터 분석을 위한 추천, 예측 모델 등의 알고리즘 이해
• 가설 검증에 기반한 의사결정 프로세스 경험",상시,20,2005-2-24,265,"중소기업, 코스닥, 주식회사","1,178"
21,엑셈,[코스닥상장사] 엑셈 데이터 파이프라인 개발 및 메타데이터 운영 (경력 5년 이상),https://www.jumpit.co.kr/position/22578,서울,강서구,마곡중앙8로5길 40 엑셈,경력 5~10년,"대학졸업(2,3년) 이상","MySQL, NoSql, Airflow, Java, Python, Oracle, PostgreSQL","• ETL(Nifi)를 통한 원천데이터 수집 및 적재
• 메타데이터 운영 및 프로세스 개선
• 분야별 데이터 표준사전 구축
• 데이터 수집 및 적재 모니터링
• 기타 문서 작성","• 경력 : 5년 이상
• 빅데이터 플랫폼에 대한 기술 이해가 가능한 자
• Java, Python 언어 중 1개 이상 언어 활용이 가능한 자
* 실 근무지는 상암 프로젝트 장소입니다.","• ETL 및 메타데이터 관련 업무 유경험자
• 공학계열, 수학/통계학, 산업공학
• 데이터 관련 자격증 및 전문 교육을 수료하신 분
• 팀 동료들과 협업을 잘하는 분
• 다양한 분야에서 데이터를 기반으로 문제 해결 경험이 있는 분
• 대용량 데이터 핸들링 경험이 있는 분
• 정형/비정형 데이터 가공 및 처리 경험이 있는 분",상시,11,2014-8-21,307,"중소기업, 코스닥, 주식회사, 병역특례 인증업체","2,335"
